Date,Open,High,Low,Close,Adj Close,Volume
4/2/18,240.330002,241.029999,233.199997,236.149994,236.02356,9217400
4/3/18,237.380005,240.25,236.399994,240.149994,240.021423,9874500
4/4/18,235.050003,242.899994,234.940002,242.460007,242.3302,6437500
4/5/18,243.800003,246.089996,243.380005,244.910004,244.778885,4786400
4/6/18,242.300003,244.25,237.240005,239.130005,239.001984,6985500
4/9/18,241.160004,243.639999,239.429993,239.729996,239.601654,5052000
4/10/18,243.350006,245,242.199997,244.009995,243.879364,5977500
4/11/18,242.130005,243.580002,241.389999,241.880005,241.750504,4733100
4/12/18,243.660004,245.820007,243.440002,244.809998,244.67894,4742400
4/13/18,246.419998,246.460007,242.330002,243.580002,243.4496,5222500
4/16/18,245.119995,246.669998,244.720001,245.619995,245.488495,4018400
4/17/18,248.149994,248.479996,247.270004,247.800003,247.667343,3821900
4/18/18,247.880005,248.220001,247.080002,247.380005,247.247559,3645600
4/19/18,246.919998,247.580002,245.490005,246.570007,246.438004,3721800
4/20/18,246.369995,246.660004,243.589996,244.479996,244.479996,3396500
4/23/18,245.059998,245.179993,243.139999,244.350006,244.350006,2491000
4/24/18,245.389999,245.559998,238.119995,240.089996,240.089996,7088900
4/25/18,240.289993,241.330002,238.089996,240.699997,240.699997,5269200
4/26/18,241.429993,243.880005,241.119995,243.119995,243.119995,3845800
4/27/18,242.970001,243.440002,241.770004,242.949997,242.949997,3182400
4/30/18,244.1,244.84,241.51,241.54,241.54,3474903