,Date,Bitcoin,DIA,S,B
0,5/1/17,1402.0838,208.919998,0.0412179824418919,0.0
1,5/2/17,1443.6825,209.130005,0.044751074457382245,0.002369157116458187
2,5/3/17,1491.9988,209.220001,0.046265138983926146,0.005120899502300283
3,5/4/17,1515.6288,209.190002,0.04576044520051559,0.006466691141507927
4,5/5/17,1512.2088,209.770004,0.055518217251772306,0.006271913003289983
5,5/8/17,1639.3225,209.919998,0.05804166934513777,0.013511377865276827
6,5/9/17,1706.9313,209.619995,0.05299451280310308,0.017361879675554526
7,5/10/17,1756.8025,209.479996,0.05063921346033595,0.020202177771079383
8,5/11/17,1807.3725,209.279999,0.047274526550747265,0.02308227439379333
9,5/12/17,1676.9938,209.009995,0.042732063792123576,0.015656859057747538
10,5/15/17,1697.3788,209.92999300000002,0.05820982209573611,0.016817839276336108
11,5/16/17,1718.2013,209.94999700000002,0.05854636312854877,0.018003736288921865
12,5/17/17,1802.1638,206.470001,0.0,0.02278562501118052
13,5/18/17,1887.3263,206.96000700000002,0.008243707524712374,0.02763585693983145
14,5/19/17,1968.1025,207.770004,0.021870843445280563,0.03223627736331705
15,5/22/17,2139.0275,208.649994,0.036675519683267765,0.04197091282381503
16,5/23/17,2291.4775,209.119995,0.04458266935148014,0.05065334766923213
17,5/24/17,2476.2963,209.82000699999998,0.056359452067995086,0.061179272163874115
18,5/25/17,2357.5038,210.580002,0.06914536999602783,0.05441372187608001
19,5/26/17,2247.4825,210.539993,0.06847227110671605,0.04814771486487579
20,5/30/17,2197.2338,210.210007,0.06292068996026101,0.04528591713567334
21,5/31/17,2330.2338,210.0,0.05938759794477111,0.05286062251081583
22,6/1/17,2452.1813,211.399994,0.08294065866719391,0.05980585847874961
23,6/2/17,2517.4088,211.91000400000001,0.09152090722471895,0.06352073889120907
24,6/5/17,2736.595,211.86000099999998,0.09067967240849528,0.07600397864532227
25,6/6/17,2914.0825,211.36999500000002,0.08243596488378424,0.08611236601577793
26,6/7/17,2694.2188,211.72000099999997,0.08832435624204082,0.0735905408263891
27,6/8/17,2825.0313,211.86000099999998,0.09067967240849528,0.08104066223154568
28,6/9/17,2826.7,212.669998,0.10430680832906392,0.0811356991553013
29,6/12/17,2682.595,212.399994,0.09976434557044023,0.07292853435767041
30,6/13/17,2738.9313,213.36999500000002,0.11608333869027598,0.07613703717290082
31,6/14/17,2494.485,213.83999599999999,0.12399048835848792,0.06221516722896325
32,6/15/17,2456.9238,213.690002,0.12146703626512245,0.060075956525679014
33,6/16/17,2528.1025,213.559998,0.11927988967295322,0.06412977367970651
34,6/19/17,2641.665,214.919998,0.14216010386136757,0.07059746149297433
35,6/20/17,2778.8275,214.399994,0.13341171937693197,0.07840923236528996
36,6/21/17,2712.1575,213.88999900000002,0.12483172317471158,0.07461219772347982
37,6/22/17,2740.79,213.729996,0.1221398827991309,0.07624289510433521
38,6/23/17,2738.225,213.74000499999997,0.12230827108134523,0.07609681150067177
39,6/26/17,2485.3588,213.86999500000002,0.12449518214189892,0.061695405753815685
40,6/27/17,2593.17,212.92999300000002,0.10868088280547417,0.067835541664647
41,6/28/17,2584.5638,214.24000499999997,0.13072011453296817,0.06734539557893607
42,6/29/17,2561.5613,212.61000099999998,0.10329743758592969,0.06603534174140438
43,6/30/17,2499.9838,213.24000499999997,0.1138964276297223,0.06252833858172141
44,7/3/17,2581.0663,214.49000499999997,0.13492603625877964,0.06714620360863863
45,7/5/17,2629.2725,214.580002,0.13644011760901176,0.06989167550529424
46,7/6/17,2619.1125,213.13999900000002,0.11221395799727718,0.06931303635783972
47,7/7/17,2521.2363,214.05000299999998,0.12752358037397782,0.06373872524326438
48,7/10/17,2371.96,213.99000499999997,0.1265141928071567,0.055237041092953215
49,7/11/17,2332.1875,213.979996,0.12634580452494237,0.052971890946089645
50,7/12/17,2423.16,215.229996,0.14737541315400016,0.05815301789902311
51,7/13/17,2364.5163,215.460007,0.15124504620230228,0.054813102488434795
52,7/14/17,2232.655,216.25999500000003,0.16470379384065703,0.04730324912089137
53,7/17/17,2244.265,216.22000099999997,0.16403094730664725,0.04796446964273651
54,7/18/17,2327.8975,215.69999700000002,0.15528256282221298,0.0527275639832373
55,7/19/17,2294.405,216.32000699999998,0.1657134169390937,0.050820076616493265
56,7/20/17,2877.3863,216.190002,0.16352625352323757,0.08402241937376814
57,7/21/17,2694.2913,215.52999900000003,0.15242256969603485,0.0735946698951086
58,7/24/17,2779.0438,215.08999599999999,0.14502009698754526,0.07842155122824218
59,7/25/17,2591.2163,215.86000099999998,0.1579744200214792,0.06772427322937319
60,7/26/17,2550.18,216.809998,0.1739568721085023,0.06538714629564416
61,7/27/17,2697.4725,217.72000099999997,0.1892664776615165,0.0737758477352545
62,7/28/17,2805.1788,218.020004,0.1943136342035512,0.0799100093107937
63,7/31/17,2873.8325,218.69999700000002,0.2057536235319506,0.08382002096803745
64,8/1/17,2735.5875,219.36999500000002,0.21702546010975166,0.07594659882828877
65,8/2/17,2723.58,219.88999900000002,0.22577384459418726,0.07526273961932617
66,8/3/17,2814.3613,220.059998,0.22863385454405183,0.08043297722137449
67,8/4/17,2883.6813,220.57000699999998,0.23721408627788865,0.08438093644396755
68,8/7/17,3431.9688,220.850006,0.24192470178711156,0.11560737458963252
69,8/8/17,3453.1625,220.690002,0.239232844587844,0.11681441243406226
70,8/9/17,3377.5438,220.5,0.23603631042885365,0.1125077254163834
71,8/10/17,3445.28,218.600006,0.2040714062548079,0.11636548299707311
72,8/11/17,3679.6075,218.69999700000002,0.2057536235319506,0.1297110602436423
73,8/14/17,4382.7413,219.97000099999997,0.2271197731938197,0.16975640892262248
74,8/15/17,4204.43,220.16000400000001,0.23031632417649783,0.15960110394097857
75,8/16/17,4425.2963,220.47000099999997,0.23553161664544264,0.1721800298793081
76,8/17/17,4316.34,217.809998,0.19078055901174862,0.16597467746377703
77,8/18/17,4159.4575,216.52999900000003,0.16924625659928116,0.15703979989974853
78,8/21/17,4054.9425,216.74000499999997,0.17277933179108285,0.15108739138634236
79,8/22/17,4137.6725,218.690002,0.20558547078135225,0.15579908594036895
80,8/23/17,4191.2175,217.919998,0.19263116457110518,0.15884861676226372
81,8/24/17,4362.475,217.66000400000001,0.18825710691838315,0.16860218898619958
82,8/25/17,4408.3238,218.039993,0.19464992288106053,0.1712134006538976
83,8/28/17,4439.6588,217.940002,0.19296770560391785,0.17299801263081557
84,8/29/17,4648.1338,218.58999599999999,0.20390300114890625,0.18487122092467137
85,8/30/17,4630.7275,218.92999300000002,0.20962300422494984,0.18387988563015004
86,8/31/17,4764.8675,219.520004,0.21954916455842044,0.1915195170513652
87,9/1/17,4950.7238,219.919998,0.22627853837759693,0.20210452994320047
88,9/5/17,4422.1213,217.669998,0.18842524284529372,0.1719992051457286
89,9/6/17,4626.72,218.25,0.19818301489655044,0.18365164779713591
90,9/7/17,4638.0975,218.11000099999998,0.19582771555378242,0.1842996268227425
91,9/8/17,4317.5375,218.24000499999997,0.19801486214595165,0.16604287828848932
92,9/11/17,4188.845,220.75999500000003,0.2404103849052639,0.15871349654795905
93,9/12/17,4148.2675,221.419998,0.2515140687324662,0.15640249950014065
94,9/13/17,3874.2588,221.75999500000003,0.25723407180850977,0.1407969718856609
95,9/14/17,3226.4125,222.32000699999998,0.26665553835856937,0.10390039405952423
96,9/15/17,3686.9,222.44999700000002,0.26884244941912305,0.1301263876041553
97,9/18/17,4067.0775,223.16000400000001,0.2807873848862359,0.1517785120609841
98,9/19/17,3896.9988,223.580002,0.28785329973822504,0.14209207564679427
99,9/20/17,3858.0888,223.899994,0.2932367449577682,0.13987604717952515
100,9/21/17,3612.6813,223.47000099999997,0.2860026773551807,0.1258994343272674
101,9/22/17,3603.3088,223.19999700000002,0.28146021459655746,0.1253656454090078
102,9/25/17,3927.4988,222.82000699999998,0.2750673818101923,0.14382913214259763
103,9/26/17,3895.5125,222.690002,0.2728802183943362,0.14200742689041027
104,9/27/17,4208.5613,223.11999500000002,0.2801142859969237,0.15983639251478554
105,9/28/17,4185.2925,223.600006,0.2881898407710377,0.1585111721807019
106,9/29/17,4164.1038,223.82000699999998,0.2918910687134382,0.15730441909963214
107,10/2/17,4404.0975,225.24000499999997,0.31578067046867364,0.1709727015762512
108,10/3/17,4320.09,226.24000499999997,0.3326043573719195,0.16618824998375284
109,10/4/17,4225.9238,226.41000400000001,0.335464367321785,0.16082523328227355
110,10/5/17,4322.755,227.63999900000002,0.3561574180943432,0.16634002885461566
111,10/6/17,4370.245,227.55000299999998,0.35464335356779797,0.16904471124758946
112,10/9/17,4772.975,227.52999900000003,0.3543068125349862,0.19198126083955294
113,10/10/17,4754.6988,228.25999500000003,0.3665880366796084,0.19094038241566433
114,10/11/17,4830.7663,228.61000099999998,0.37247642803786496,0.19527262979253393
115,10/12/17,5439.1338,228.330002,0.3677658125286434,0.22992078447157152
116,10/13/17,5640.1275,228.729996,0.3744951863478203,0.24136791274044203
117,10/16/17,5754.2213,229.44999700000002,0.3866082577418446,0.24786585950834003
118,10/17/17,5595.235,229.850006,0.39333788391632485,0.23881116491297147
119,10/18/17,5572.1988,231.460007,0.42042403665423755,0.2374991917703936
120,10/19/17,5699.5838,231.649994,0.4236203184579246,0.24475410789229232
121,10/20/17,5984.0863,233.13000499999998,0.44851956013528405,0.26095728545613794
122,10/23/17,5895.2988,232.649994,0.44044400536117045,0.2559006000915104
123,10/24/17,5518.85,234.289993,0.4680348350588073,0.23446083506274398
124,10/25/17,5733.9038,233.16000400000001,0.44902425391869505,0.246708723595111
125,10/26/17,5888.145,233.850006,0.4606326315293088,0.25549317206660294
126,10/27/17,5767.68,234.169998,0.4660160767488519,0.2486323684348997
127,10/30/17,6121.8,233.330002,0.4518842470448732,0.2688004486412565
128,10/31/17,6447.6675,233.63000499999998,0.456931403586907,0.28735947348211544
129,11/1/17,6750.1725,234.190002,0.4663526177816646,0.3045879415235251
130,11/2/17,7030.0025,234.960007,0.4793069408155981,0.32052500772748094
131,11/3/17,7161.4513,235.17999300000002,0.48300791640269614,0.32801136811782705
132,11/6/17,6958.2113,235.41000400000001,0.4868775494509987,0.31643630706185744
133,11/7/17,7129.59,235.419998,0.48704568537790927,0.32619678194963886
134,11/8/17,7444.36,235.460007,0.48771878426722104,0.34412377451304943
135,11/9/17,7146.7813,234.72000099999997,0.4752691550166972,0.3271758724196816
136,11/10/17,6570.3125,234.42999300000002,0.47039015122526173,0.29434443393876475
137,11/13/17,6517.6763,234.66000400000001,0.4742597842735643,0.29134666170517776
138,11/14/17,6598.7688,234.27999900000003,0.46786669913189627,0.29596509625881484
139,11/15/17,7279.0013,232.960007,0.44565956700910636,0.3347061547106691
140,11/16/17,7843.9375,234.91000400000001,0.47846570599937577,0.3668807808065532
141,11/17/17,7689.9088,233.38999900000002,0.4528936177880074,0.3581084347778599
142,11/20/17,8238.2025,234.149994,0.46567953571603926,0.3893352260300912
143,11/21/17,8095.5938,235.729996,0.49226099467054185,0.3812132795155643
144,11/22/17,8230.6925,235.169998,0.4828397636520978,0.3889075114634196
145,11/24/17,8201.4613,235.47000099999997,0.48788692019413205,0.3872427165178417
146,11/27/17,9739.055,235.729996,0.49226099467054185,0.4748127861732946
147,11/28/17,9908.2288,238.33999599999999,0.5361708174880135,0.48444768611459754
148,11/29/17,9816.3475,239.419998,0.5543404329908928,0.4792148005733562
149,11/30/17,9916.5363,242.83999599999999,0.61187740855262,0.4849208204371839
150,12/1/17,10859.5625,242.44999700000002,0.6053161874840418,0.5386286822871102
151,12/4/17,11616.855,243.11000099999998,0.6164198881349314,0.5817585136427876
152,12/5/17,11696.0583,242.00999500000003,0.59791373159924,0.5862693532084946
153,12/6/17,13708.9913,241.61999500000002,0.5913524937069736,0.7009112661024924
154,12/7/17,16858.02,242.36000099999998,0.6038021229574966,0.8802568647518758
155,12/8/17,16057.145,243.61999500000002,0.6249998675134654,0.8346448935690394
156,12/11/17,16699.6775,244.169998,0.6342529457813111,0.8712388362867367
157,12/12/17,17178.1025,245.440002,0.6556190954431811,0.8984864183852521
158,12/13/17,16407.2025,246.30000299999998,0.670087483003659,0.8545816035454223
159,12/14/17,16531.0838,245.57000699999998,0.6578062588590372,0.8616369745904573
160,12/15/17,17601.9438,246.25,0.669246248187437,0.922625312921473
161,12/18/17,18960.5225,247.789993,0.6951546082526274,1.0
162,12/19/17,17608.35,247.399994,0.6885933871840484,0.922990163128798
163,12/20/17,16454.7225,247.07000699999998,0.683041789213906,0.857287994518556
164,12/21/17,15561.05,247.66000400000001,0.6929677140157615,0.8063909577563978
165,12/22/17,13857.145,247.399994,0.6885933871840484,0.7093490151832237
166,12/26/17,15745.2575,247.25,0.6860699350906829,0.8168820670826502
167,12/27/17,15378.285,247.479996,0.6899393157836817,0.7959820026594961
168,12/28/17,14428.76,248.13000499999998,0.700874863683973,0.7419040167848182
169,12/29/17,14427.87,247.38000499999998,0.688257098506539,0.7418533289067439
170,1/2/18,14740.7563,248.020004,0.69902424130093,0.7596730397219201
171,1/3/18,15134.6513,248.94999700000002,0.7146701523551409,0.7821064124568206
172,1/4/18,15155.2263,250.600006,0.742429387158678,0.7832782136830879
173,1/5/18,16937.1738,252.72000099999997,0.7780955192751247,0.884764885160319
174,1/8/18,14970.3575,252.58999599999999,0.7759083558592685,0.7727494415548463
175,1/9/18,14439.4738,253.82000699999998,0.7966016758108161,0.7425141963220226
176,1/10/18,14890.7225,253.61999500000002,0.793236736545925,0.7682140155206397
177,1/11/18,13287.26,255.61000099999998,0.8267159744255057,0.6768925417041779
178,1/12/18,13812.715,257.910004,0.8654105047740321,0.70681860796655
179,1/16/18,11348.02,257.809998,0.8637280351415866,0.566447642067401
180,1/17/18,11141.2488,261.079987,0.9187413062546446,0.5546714697360876
181,1/18/18,11250.6475,260.160004,0.9032638003063358,0.5609020180137086
182,1/19/18,11514.925,260.540009,0.9096568854480038,0.5759533277864848
183,1/22/18,10772.15,261.980011,0.9338830282360515,0.5336503068464737
184,1/23/18,10839.8263,261.869995,0.9320321534977039,0.5375046529621111
185,1/24/18,11399.52,262.570007,0.9438089362142188,0.569380704675069
186,1/25/18,11137.2375,263.75,0.9636607689942407,0.5544430154829199
187,1/26/18,11090.0638,265.910004,1.0,0.5517563472200977
188,1/29/18,11158.3938,264.160004,0.9705585479193193,0.5556479232974171
189,1/30/18,10034.9975,260.619995,0.911002544868647,0.49166750230474654
190,1/31/18,10166.5063,261.440002,0.9247980858951168,0.49915727985541214
191,2/1/18,9052.5763,261.619995,0.9278262317718928,0.4357159899416342
192,2/2/18,8827.63,254.92999300000002,0.8152757327418039,0.42290469710157086
193,2/5/18,6914.26,243.270004,0.6191117285105117,0.3139331630892672
194,2/6/18,7700.3863,248.960007,0.7148385574610412,0.3587051563986723
195,2/7/18,7581.8038,248.75999500000003,0.7114736181961501,0.35195156617199685
196,2/8/18,8237.2363,238.669998,0.5417226678134588,0.3892801983584111
197,2/9/18,8689.8388,242.02999900000003,0.5982502726320522,0.4150571200843729
198,2/12/18,8891.2125,246.169998,0.6679003195878028,0.4265258903686009
199,2/13/18,8516.2438,246.57000699999998,0.6746299457622831,0.40517042098965217
200,2/14/18,9477.84,249.30000299999998,0.7205585437133974,0.45993589395849876
201,2/15/18,10016.4888,252.5,0.7743942913327242,0.4906133823846194
202,2/16/18,10178.7125,251.960007,0.7653096181707797,0.4998524555602999
203,2/20/18,11228.2413,249.350006,0.7213997785296211,0.5596259250544868
204,2/21/18,10456.1725,247.72000099999997,0.6939770847588944,0.515654543931631
205,2/22/18,9830.4263,249.49000499999997,0.7237550778723874,0.48001662585181903
206,2/23/18,10149.4625,252.91000400000001,0.7812920702578028,0.4981865899044885
207,2/26/18,10313.0825,256.920013,0.8487552061530002,0.5075051860960736
208,2/27/18,10564.4188,253.960007,0.7989569919772714,0.5218194599500467
209,2/28/18,10309.6413,250.19999700000002,0.7356997609841978,0.5073092005612093
210,3/1/18,10907.59,245.979996,0.6647037854288129,0.5413639767412806
211,3/2/18,11019.5213,245.350006,0.6541050309166367,0.5477387633559925
212,3/5/18,11432.9825,248.83999599999999,0.7128195299720961,0.5712864834616531
213,3/6/18,10709.5275,248.83999599999999,0.7128195299720961,0.5300837881445576
214,3/7/18,9906.8,248.11000099999998,0.7005383226511608,0.484366312136853
215,3/8/18,9299.2838,249.13999900000002,0.7178666865141308,0.44976664126748356
216,3/9/18,9237.05,253.559998,0.7922273658027912,0.4462222600691712
217,3/12/18,9118.2713,251.960007,0.7653096181707797,0.43945749572825066
218,3/13/18,9144.1475,250.22000099999997,0.73603630201701,0.4409312144592902
219,3/14/18,8196.8975,247.88000499999998,0.696668941958162,0.38698279591339746
220,3/15/18,8256.9938,249.0,0.7155113871713628,0.3904054407753237
221,3/16/18,8269.3275,249.100006,0.7171938568038092,0.3911078779458905
222,3/19/18,8594.1913,245.91000400000001,0.6635262619350808,0.40960973938986966
223,3/20/18,8915.9038,247.100006,0.6835464829973175,0.4279321258785954
224,3/21/18,8895.4,246.61999500000002,0.6754709282232039,0.42676437968257397
225,3/22/18,8712.8913,239.36000099999998,0.553331062247759,0.4163700215555043
226,3/23/18,8918.7438,235.13000499999998,0.48216693394177623,0.428093871467057
227,3/26/18,8138.3363,241.82000699999998,0.5947174329718647,0.38364757909824865
228,3/27/18,7790.1575,238.289993,0.5353295826717908,0.36381786610673994
229,3/28/18,7106.620117,238.27999900000003,0.5351614467448806,0.32488858573740964
230,3/29/18,6853.759765999999,241.399994,0.5876512657645723,0.31048751310673195
231,4/2/18,7434.299805,236.149994,0.499326909522531,0.34355081952702327
232,4/3/18,6815.5,240.149994,0.5666216571355154,0.308308517203184
233,4/4/18,6790.450195,242.460007,0.605484592589943,0.3068818638755165
234,4/5/18,6634.859863000001,244.91000400000001,0.6467025750318349,0.2980205787317526
235,4/6/18,6917.200195,239.13000499999998,0.5494616815547602,0.3141006150506993
236,4/9/18,6871.069823999999,239.729996,0.5595557422835258,0.3114733671621953
237,4/10/18,6977.129883,244.00999500000003,0.6315611054057317,0.3175137709140392
238,4/11/18,7927.72998,241.88000499999998,0.5957268205386859,0.3716529864355195
239,4/12/18,7899.109863,244.809998,0.6450201053993894,0.3700229942996014
240,4/13/18,8022.509765999999,243.580002,0.6243270378031438,0.3770509484991966
241,4/16/18,7921.629883,245.61999500000002,0.658647241319958,0.3713055696119496
242,4/17/18,8189.959961,247.80000299999998,0.6953230133585286,0.386587684530288
243,4/18/18,8301.820313,247.38000499999998,0.688257098506539,0.39295843046682744
244,4/19/18,8877.080078,246.57000699999998,0.6746299457622831,0.42572101117396055
245,4/20/18,8935.719727,244.479996,0.6394682550739441,0.42906069586927453
246,4/23/18,9655.769531,244.350006,0.6372813440133909,0.47006945617550844
247,4/24/18,8873.620117,240.08999599999999,0.5656122695686943,0.425523957150017
248,4/25/18,9282.120117,240.69999700000002,0.5758747354033611,0.4487891236593833
249,4/26/18,8938.469727,243.11999500000002,0.6165880240618424,0.42921731571725685
250,4/27/18,9351.469727,242.94999700000002,0.6137280309356647,0.452738769250594
251,4/28/18,9248.45,241.539993,0.5900065651073403,0.44687152052989776
