,Date,Bitcoin,EWJ,FDN,GLD,N,B
0,5/1/17,1402.0838,52.060001,93.230003,119.66999799999999,0.03575965001268111,0.0
1,5/2/17,1443.6825,52.220001,93.989998,119.650002,0.05503418716713204,0.002369157116458187
2,5/3/17,1491.9988,52.349998,93.589996,117.980003,0.04488957646462133,0.005120899502300283
3,5/4/17,1515.6288,52.48,93.68,116.790001,0.04717220390565613,0.006466691141507927
4,5/5/17,1512.2088,52.77,94.050003,117.010002,0.056555997971088345,0.006271913003289983
5,5/8/17,1639.3225,52.790001000000004,93.93,116.75,0.05351255389297549,0.013511377865276827
6,5/9/17,1706.9313,52.619999,94.0,116.050003,0.055287851889424644,0.017361879675554526
7,5/10/17,1756.8025,52.380001,94.309998,116.040001,0.06314983515090056,0.020202177771079383
8,5/11/17,1807.3725,52.240002000000004,93.93,116.5,0.05351255389297549,0.02308227439379333
9,5/12/17,1676.9938,52.369999,94.010002,116.83000200000001,0.055541516611717245,0.015656859057747538
10,5/15/17,1697.3788,52.52,94.57,117.139999,0.06974384986051252,0.016817839276336108
11,5/16/17,1718.2013,52.560001,95.050003,117.650002,0.08191739792036579,0.018003736288921865
12,5/17/17,1802.1638,52.48,91.82,119.790001,0.0,0.02278562501118052
13,5/18/17,1887.3263,52.619999,92.5,118.809998,0.017245751965508926,0.02763585693983145
14,5/19/17,1968.1025,53.049999,92.940002,119.400002,0.02840481866599065,0.03223627736331705
15,5/22/17,2139.0275,53.02,93.540001,119.900002,0.04362163327415702,0.04197091282381503
16,5/23/17,2291.4775,53.09,93.559998,119.139999,0.044128785188942476,0.05065334766923213
17,5/24/17,2476.2963,53.009997999999996,94.07,119.610001,0.0570631498858738,0.061179272163874115
18,5/25/17,2357.5038,53.150002,95.050003,119.480003,0.08191739792036579,0.05441372187608001
19,5/26/17,2247.4825,53.18,95.18,120.540001,0.08521430382957185,0.04814771486487579
20,5/30/17,2197.2338,53.290001000000004,94.949997,120.139999,0.07938110575703794,0.04528591713567334
21,5/31/17,2330.2338,53.290001000000004,94.690002,120.620003,0.07278726857722573,0.05286062251081583
22,6/1/17,2452.1813,53.77,95.889999,120.720001,0.10322087243215883,0.05980585847874961
23,6/2/17,2517.4088,54.900002,96.540001,121.610001,0.1197058331219889,0.06352073889120907
24,6/5/17,2736.595,54.689999,96.809998,121.730003,0.12655333502409327,0.07600397864532227
25,6/6/17,2914.0825,54.73,96.269997,123.099998,0.1128581536900839,0.08611236601577793
26,6/7/17,2694.2188,54.709998999999996,96.230003,122.449997,0.11184384986051255,0.0735905408263891
27,6/8/17,2825.0313,54.580002,97.519997,121.650002,0.1445599036266807,0.08104066223154568
28,6/9/17,2826.7,54.09,94.639999,120.540001,0.07151912249556203,0.0811356991553013
29,6/12/17,2682.595,54.259997999999996,93.809998,120.360001,0.05046913517626184,0.07292853435767041
30,6/13/17,2738.9313,54.560001,94.589996,120.480003,0.07025097641389833,0.07613703717290082
31,6/14/17,2494.485,54.529999,94.279999,119.82,0.0623890185138225,0.06221516722896325
32,6/15/17,2456.9238,54.0,93.910004,119.32,0.05300542733958924,0.060075956525679014
33,6/16/17,2528.1025,54.220001,94.08000200000001,119.339996,0.057316814608166844,0.06412977367970651
34,6/19/17,2641.665,54.389998999999996,95.349998,118.43,0.08952569109814901,0.07059746149297433
35,6/20/17,2778.8275,54.060001,94.470001,118.18,0.06720773522698487,0.07840923236528996
36,6/21/17,2712.1575,53.98,95.41999799999999,118.519997,0.09130098909459816,0.07461219772347982
37,6/22/17,2740.79,54.09,95.83000200000001,118.91999799999999,0.10169926451940192,0.07624289510433521
38,6/23/17,2738.225,54.049999,96.879997,119.43,0.12832860765914322,0.07609681150067177
39,6/26/17,2485.3588,53.900002,96.099998,118.360001,0.10854674106010664,0.061695405753815685
40,6/27/17,2593.17,53.77,94.529999,118.809998,0.06872936850114142,0.067835541664647
41,6/28/17,2584.5638,54.009997999999996,96.129997,118.900002,0.10930755769718514,0.06734539557893607
42,6/29/17,2561.5613,53.470001,94.599998,118.32,0.07050464113619093,0.06603534174140438
43,6/30/17,2499.9838,53.650002,94.739998,118.019997,0.07405523712908968,0.06252833858172141
44,7/3/17,2581.0663,53.389998999999996,93.860001,116.089996,0.05173728125792554,0.06714620360863863
45,7/5/17,2629.2725,53.400002,94.83000200000001,116.519997,0.07633786457012492,0.06989167550529424
46,7/6/17,2619.1125,53.009997999999996,93.66999799999999,116.470001,0.046918539183363084,0.06931303635783972
47,7/7/17,2521.2363,52.98,94.91999799999999,115.279999,0.07862028911995944,0.06373872524326438
48,7/10/17,2371.96,52.84,95.900002,115.470001,0.10347456251585108,0.055237041092953215
49,7/11/17,2332.1875,53.200001,96.349998,115.620003,0.114887091047426,0.052971890946089645
50,7/12/17,2423.16,53.57,98.110001,116.029999,0.15952323104235377,0.05815301789902311
51,7/13/17,2364.5163,53.5,98.120003,115.82,0.15977689576464638,0.054813102488434795
52,7/14/17,2232.655,53.630001,98.66999799999999,116.769997,0.17372553892974896,0.04730324912089137
53,7/17/17,2244.265,53.560001,98.870003,117.290001,0.17879794572660446,0.04796446964273651
54,7/18/17,2327.8975,53.84,100.400002,118.110001,0.21760086228759867,0.0527275639832373
55,7/19/17,2294.405,54.060001,100.970001,118.08000200000001,0.23205683489728646,0.050820076616493265
56,7/20/17,2877.3863,54.259997999999996,100.690002,118.239998,0.22495566827288904,0.08402241937376814
57,7/21/17,2694.2913,54.360001000000004,100.559998,119.260002,0.2216585848338828,0.0735946698951086
58,7/24/17,2779.0438,54.25,101.110001,119.309998,0.2356074308901852,0.07842155122824218
59,7/25/17,2591.2163,54.060001,101.260002,118.91999799999999,0.23941166624397692,0.06772427322937319
60,7/26/17,2550.18,54.240002000000004,101.0,119.879997,0.23281765153436496,0.06538714629564416
61,7/27/17,2697.4725,54.419998,100.160004,119.790001,0.21151417702257191,0.0737758477352545
62,7/28/17,2805.1788,54.580002,100.120003,120.690002,0.21049969566320081,0.0799100093107937
63,7/31/17,2873.8325,54.759997999999996,98.870003,120.75,0.17879794572660446,0.08382002096803745
64,8/1/17,2735.5875,55.080002,98.989998,120.650002,0.18184118691351792,0.07594659882828877
65,8/2/17,2723.58,55.049999,98.199997,120.400002,0.16180565559218874,0.07526273961932617
66,8/3/17,2814.3613,55.189999,98.360001,120.589996,0.16586358102967313,0.08043297722137449
67,8/4/17,2883.6813,55.139998999999996,99.07,119.650002,0.18387014963225967,0.08438093644396755
68,8/7/17,3431.9688,55.119999,99.690002,119.510002,0.19959426832361205,0.11560737458963252
69,8/8/17,3453.1625,55.060001,99.33000200000001,119.860001,0.19046416434187208,0.11681441243406226
70,8/9/17,3377.5438,54.720001,98.91999799999999,121.309998,0.18006588891706832,0.1125077254163834
71,8/10/17,3445.28,54.150002,96.199997,122.209999,0.1110828556936343,0.11636548299707311
72,8/11/17,3679.6075,54.07,97.07,122.790001,0.13314734973370523,0.1297110602436423
73,8/14/17,4382.7413,54.470001,98.32,121.91999799999999,0.16484909967030204,0.16975640892262248
74,8/15/17,4204.43,54.400002,98.059998,120.980003,0.15825508496069007,0.15960110394097857
75,8/16/17,4425.2963,54.580002,98.589996,121.870003,0.1716965762110072,0.1721800298793081
76,8/17/17,4316.34,54.209998999999996,96.790001,122.489998,0.12604618310930782,0.16597467746377703
77,8/18/17,4159.4575,54.450001,96.959999,122.300003,0.13035757037788498,0.15703979989974853
78,8/21/17,4054.9425,54.330002,96.940002,122.760002,0.12985041846309953,0.15108739138634236
79,8/22/17,4137.6725,54.439999,98.540001,122.209999,0.1704286330205429,0.15579908594036895
80,8/23/17,4191.2175,54.459998999999996,98.32,122.66999799999999,0.16484909967030204,0.15884861676226372
81,8/24/17,4362.475,54.18,98.510002,122.290001,0.16966781638346484,0.16860218898619958
82,8/25/17,4408.3238,54.360001000000004,97.529999,122.739998,0.1448135683489733,0.1712134006538976
83,8/28/17,4439.6588,54.419998,97.720001,124.690002,0.14963228506213566,0.17299801263081557
84,8/29/17,4648.1338,54.310001,98.18,124.41999799999999,0.16129850367740328,0.18487122092467137
85,8/30/17,4630.7275,54.279999,99.370003,124.360001,0.19147864570124273,0.18387988563015004
86,8/31/17,4764.8675,54.709998999999996,100.519997,125.82,0.22064410347451213,0.1915195170513652
87,9/1/17,4950.7238,54.490002000000004,100.470001,126.059998,0.21937613492264774,0.20210452994320047
88,9/5/17,4422.1213,54.25,99.760002,127.459999,0.2013695663200612,0.1719992051457286
89,9/6/17,4626.72,54.48,99.879997,126.809998,0.20441280750697466,0.18365164779713591
90,9/7/17,4638.0975,54.799999,100.400002,128.130005,0.21760086228759867,0.1842996268227425
91,9/8/17,4317.5375,54.970001,99.620003,127.970001,0.1978189956885621,0.16604287828848932
92,9/11/17,4188.845,55.220001,100.790001,126.190002,0.2274917829064167,0.15871349654795905
93,9/12/17,4148.2675,55.259997999999996,101.199997,126.559998,0.23788985544002061,0.15640249950014065
94,9/13/17,3874.2588,55.150002,101.099998,125.610001,0.23535374080649296,0.1407969718856609
95,9/14/17,3226.4125,55.16,100.82,126.160004,0.22825259954349475,0.10390039405952423
96,9/15/17,3686.9,55.240002000000004,101.010002,125.529999,0.23307131625665756,0.1301263876041553
97,9/18/17,4067.0775,55.25,101.18,124.360001,0.23738270352523516,0.1517785120609841
98,9/19/17,3896.9988,55.57,101.470001,124.620003,0.24473753487192518,0.14209207564679427
99,9/20/17,3858.0888,55.59,101.519997,123.620003,0.24600550342378913,0.13987604717952515
100,9/21/17,3612.6813,55.369999,101.489998,122.68,0.24524468678671107,0.1258994343272674
101,9/22/17,3603.3088,55.43,101.620003,123.239998,0.24854179558711653,0.1253656454090078
102,9/25/17,3927.4988,55.549999,99.559998,124.529999,0.1962971848846058,0.14382913214259763
103,9/26/17,3895.5125,55.549999,99.660004,123.139999,0.1988334770479332,0.14200742689041027
104,9/27/17,4208.5613,55.66,101.339996,121.980003,0.24144042607151928,0.15983639251478554
105,9/28/17,4185.2925,55.700001,101.540001,122.209999,0.24651283286837478,0.1585111721807019
106,9/29/17,4164.1038,55.709998999999996,102.360001,121.58000200000001,0.267309180826782,0.15730441909963214
107,10/2/17,4404.0975,55.709998999999996,102.739998,120.769997,0.27694643672330743,0.1709727015762512
108,10/3/17,4320.09,56.040001000000004,103.459999,120.83000200000001,0.295206670048187,0.16618824998375284
109,10/4/17,4225.9238,56.049999,103.690002,121.16999799999999,0.3010398681207205,0.16082523328227355
110,10/5/17,4322.755,56.02,104.860001,120.519997,0.3307126806999747,0.16634002885461566
111,10/6/17,4370.245,55.990002000000004,105.040001,121.089996,0.33527773269084493,0.16904471124758946
112,10/9/17,4772.975,56.060001,104.860001,122.08000200000001,0.3307126806999747,0.19198126083955294
113,10/10/17,4754.6988,56.459998999999996,104.370003,122.400002,0.31828564544762905,0.19094038241566433
114,10/11/17,4830.7663,56.75,104.949997,122.790001,0.33299510524981013,0.19527262979253393
115,10/12/17,5439.1338,56.68,105.139999,122.889999,0.3378138219629725,0.22992078447157152
116,10/13/17,5640.1275,57.380001,105.440002,123.82,0.34542231803195556,0.24136791274044203
117,10/16/17,5754.2213,57.639998999999996,105.160004,122.970001,0.3383211767689578,0.24786585950834003
118,10/17/17,5595.235,57.580002,105.129997,122.129997,0.3375601572406799,0.23881116491297147
119,10/18/17,5572.1988,57.52,105.25,121.66999799999999,0.3406036013187932,0.2374991917703936
120,10/19/17,5699.5838,57.389998999999996,104.82,122.389999,0.3296981993406036,0.24475410789229232
121,10/20/17,5984.0863,57.52,105.550003,121.610001,0.34821209738777625,0.26095728545613794
122,10/23/17,5895.2988,57.66,104.269997,121.800003,0.31574935328430165,0.2559006000915104
123,10/24/17,5518.85,58.139998999999996,104.839996,121.33000200000001,0.33020532589398943,0.23446083506274398
124,10/25/17,5733.9038,57.669998,104.360001,121.349998,0.318031980725336,0.246708723595111
125,10/26/17,5888.145,57.98,105.129997,120.33000200000001,0.3375601572406799,0.25549317206660294
126,10/27/17,5767.68,58.419998,107.25,120.900002,0.39132640121734763,0.2486323684348997
127,10/30/17,6121.8,58.400002,107.019997,121.129997,0.3854932031448137,0.2688004486412565
128,10/31/17,6447.6675,58.650002,107.43,120.66999799999999,0.3958914532082174,0.28735947348211544
129,11/1/17,6750.1725,58.98,107.269997,121.110001,0.3918335531321331,0.3045879415235251
130,11/2/17,7030.0025,59.049999,106.889999,121.190002,0.38219627187420757,0.32052500772748094
131,11/3/17,7161.4513,59.189999,107.389999,120.620003,0.3948769718488463,0.32801136811782705
132,11/6/17,6958.2113,59.18,107.650002,121.650002,0.40147101191985834,0.31643630706185744
133,11/7/17,7129.59,59.650002,106.75,121.209999,0.3786457012427089,0.32619678194963886
134,11/8/17,7444.36,60.02,107.18,121.629997,0.38955110322089803,0.34412377451304943
135,11/9/17,7146.7813,59.52,105.989998,122.129997,0.3593709865584582,0.3271758724196816
136,11/10/17,6570.3125,59.080002,106.190002,121.129997,0.36444336799391364,0.29434443393876475
137,11/13/17,6517.6763,58.82,106.379997,121.309998,0.3692619071772767,0.29134666170517776
138,11/14/17,6598.7688,58.509997999999996,106.68,121.559998,0.37687040324625976,0.29596509625881484
139,11/15/17,7279.0013,58.080002,106.050003,121.410004,0.36089279736241453,0.3347061547106691
140,11/16/17,7843.9375,58.98,107.970001,121.400002,0.40958663454222677,0.3668807808065532
141,11/17/17,7689.9088,58.689999,107.879997,122.860001,0.4073040071011924,0.3581084347778599
142,11/20/17,8238.2025,58.98,108.400002,121.309998,0.420492061881816,0.3893352260300912
143,11/21/17,8095.5938,59.52,109.75,121.510002,0.45472990109054034,0.3812132795155643
144,11/22/17,8230.6925,59.560001,110.050003,122.629997,0.4623383971595234,0.3889075114634196
145,11/24/17,8201.4613,60.049999,111.010002,122.32,0.48668531574942975,0.3872427165178417
146,11/27/17,9739.055,59.790001000000004,110.900002,122.83000200000001,0.48389556175500914,0.4748127861732946
147,11/28/17,9908.2288,59.970001,111.260002,122.809998,0.49302566573674866,0.48444768611459754
148,11/29/17,9816.3475,59.849998,108.58000200000001,122.040001,0.4250571138726862,0.4792148005733562
149,11/30/17,9916.5363,59.91,108.900002,121.099998,0.4331727618564547,0.4849208204371839
150,12/1/17,10859.5625,59.639998999999996,108.440002,121.589996,0.42150651787978743,0.5386286822871102
151,12/4/17,11616.855,59.009997999999996,106.33000200000001,121.18,0.3679939639868124,0.5817585136427876
152,12/5/17,11696.0583,59.16,106.709999,120.32,0.3776312198833378,0.5862693532084946
153,12/6/17,13708.9913,58.939999,107.32,120.07,0.3931016992137968,0.7009112661024924
154,12/7/17,16858.02,59.32,108.620003,118.489998,0.42607159523205684,0.8802568647518758
155,12/8/17,16057.145,59.599998,108.800003,118.480003,0.43063664722292705,0.8346448935690394
156,12/11/17,16699.6775,59.799999,109.300003,118.010002,0.44331734719756577,0.8712388362867367
157,12/12/17,17178.1025,59.91,108.849998,118.150002,0.4319045904133909,0.8984864183852521
158,12/13/17,16407.2025,60.150002,109.32,119.16999799999999,0.4438244991123512,0.8545816035454223
159,12/14/17,16531.0838,59.869999,109.540001,118.93,0.4494040324625921,0.8616369745904573
160,12/15/17,17601.9438,59.900002,110.699997,119.18,0.47882315495815364,0.922625312921473
161,12/18/17,18960.5225,60.619999,112.16999799999999,119.730003,0.5161044382449913,1.0
162,12/19/17,17608.35,59.610001000000004,111.559998,119.82,0.500633984275932,0.922990163128798
163,12/20/17,16454.7225,59.689999,110.91999799999999,120.139999,0.4844026883083945,0.857287994518556
164,12/21/17,15561.05,59.73,110.699997,120.309998,0.47882315495815364,0.8063909577563978
165,12/22/17,13857.145,60.009997999999996,110.209999,120.940002,0.46639611970580797,0.7093490151832237
166,12/26/17,15745.2575,60.040001000000004,110.089996,121.769997,0.46335267562769467,0.8168820670826502
167,12/27/17,15378.285,59.959998999999996,110.16999799999999,122.230003,0.46538163834643687,0.7959820026594961
168,12/28/17,14428.76,59.82,110.610001,122.849998,0.4765407304083187,0.7419040167848182
169,12/29/17,14427.87,59.93,109.879997,123.650002,0.45802680699974685,0.7418533289067439
170,1/2/18,14740.7563,60.290001000000004,111.07,125.150002,0.4882069490235863,0.7596730397219201
171,1/3/18,15134.6513,61.119999,112.639999,124.82,0.5280243215825515,0.7821064124568206
172,1/4/18,15155.2263,61.869999,112.91999799999999,125.459999,0.5351254882069489,0.7832782136830879
173,1/5/18,16937.1738,62.040001000000004,114.010002,125.33000200000001,0.5627695155972612,0.884764885160319
174,1/8/18,14970.3575,62.400002,114.779999,125.309998,0.5822977174740047,0.7727494415548463
175,1/9/18,14439.4738,62.439999,114.489998,124.730003,0.5749428861273143,0.7425141963220226
176,1/10/18,14890.7225,62.84,114.220001,125.029999,0.5680953842252094,0.7682140155206397
177,1/11/18,13287.26,63.259997999999996,115.400002,125.440002,0.5980218615267563,0.6768925417041779
178,1/12/18,13812.715,63.459998999999996,116.43,126.959999,0.6241440527517121,0.70681860796655
179,1/16/18,11348.02,63.459998999999996,115.370003,127.16999799999999,0.5972610448896778,0.566447642067401
180,1/17/18,11141.2488,63.970001,116.120003,126.139999,0.6162820948516359,0.5546714697360876
181,1/18/18,11250.6475,63.43,116.110001,125.860001,0.6160284301293433,0.5609020180137086
182,1/19/18,11514.925,63.830002,116.940002,126.41999799999999,0.6370784174486435,0.5759533277864848
183,1/22/18,10772.15,64.099998,118.589996,126.650002,0.6789245751965511,0.5336503068464737
184,1/23/18,10839.8263,64.489998,120.150002,127.279999,0.7184885112858233,0.5375046529621111
185,1/24/18,11399.52,64.510002,119.879997,128.830002,0.7116408064925186,0.569380704675069
186,1/25/18,11137.2375,64.199997,120.540001,127.970001,0.7283794319046413,0.5544430154829199
187,1/26/18,11090.0638,64.66999799999999,122.41999799999999,128.070007,0.7760587877250824,0.5517563472200977
188,1/29/18,11158.3938,64.120003,122.18,127.349998,0.7699721024600561,0.5556479232974171
189,1/30/18,10034.9975,63.299999,121.690002,126.800003,0.75754506720771,0.49166750230474654
190,1/31/18,10166.5063,62.939999,121.860001,127.650002,0.7618564798376872,0.49915727985541214
191,2/1/18,9052.5763,63.25,121.800003,128.070007,0.7603348465635307,0.4357159899416342
192,2/2/18,8827.63,62.32,119.730003,126.389999,0.7078367486685266,0.42290469710157086
193,2/5/18,6914.26,59.369999,115.559998,126.709999,0.6020795840730409,0.3139331630892672
194,2/6/18,7700.3863,60.810001,118.08000200000001,125.379997,0.6659904133908197,0.3587051563986723
195,2/7/18,7581.8038,60.27,118.150002,124.790001,0.6677657113872688,0.35195156617199685
196,2/8/18,8237.2363,58.48,114.440002,124.980003,0.5736749175754503,0.3892801983584111
197,2/9/18,8689.8388,59.07,115.389999,124.769997,0.597768171443064,0.4150571200843729
198,2/12/18,8891.2125,60.220001,117.160004,125.370003,0.6426579761602844,0.4265258903686009
199,2/13/18,8516.2438,59.48,118.050003,126.08000200000001,0.6652295967537412,0.40517042098965217
200,2/14/18,9477.84,60.380001,120.82,128.229996,0.7354805985290387,0.45993589395849876
201,2/15/18,10016.4888,60.669998,122.849998,128.380005,0.7869641897032715,0.4906133823846194
202,2/16/18,10178.7125,61.599998,121.989998,127.959999,0.7651533857468933,0.4998524555602999
203,2/20/18,11228.2413,61.099998,122.0,126.239998,0.7654070504691859,0.5596259250544868
204,2/21/18,10456.1725,60.490002000000004,121.730003,125.660004,0.7585595485670811,0.515654543931631
205,2/22/18,9830.4263,60.77,121.150002,126.300003,0.7438499112351002,0.48001662585181903
206,2/23/18,10149.4625,61.66,123.300003,126.139999,0.7983769464874464,0.4981865899044885
207,2/26/18,10313.0825,62.459998999999996,124.480003,126.449997,0.8283033984275932,0.5075051860960736
208,2/27/18,10564.4188,61.610001000000004,123.230003,125.129997,0.7966016484909968,0.5218194599500467
209,2/28/18,10309.6413,61.07,123.110001,125.0,0.7935582297742836,0.5073092005612093
210,3/1/18,10907.59,59.299999,121.699997,124.720001,0.7577985544002028,0.5413639767412806
211,3/2/18,11019.5213,59.970001,123.800003,125.389999,0.8110576464620851,0.5477387633559925
212,3/5/18,11432.9825,60.240002000000004,126.040001,125.18,0.8678671316256659,0.5712864834616531
213,3/6/18,10709.5275,60.610001000000004,127.0,126.529999,0.8922140502155722,0.5300837881445576
214,3/7/18,9906.8,60.099998,128.559998,125.720001,0.9317777834136449,0.484366312136853
215,3/8/18,9299.2838,60.470001,128.889999,125.41999799999999,0.9401470707583055,0.44976664126748356
216,3/9/18,9237.05,60.619999,131.020004,125.540001,0.9941669794572663,0.4462222600691712
217,3/12/18,9118.2713,60.68,131.25,125.540001,1.0,0.43945749572825066
218,3/13/18,9144.1475,60.580002,129.199997,125.779999,0.9480090540197819,0.4409312144592902
219,3/14/18,8196.8975,60.84,130.899994,125.699997,0.9911233578493532,0.38698279591339746
220,3/15/18,8256.9938,60.959998999999996,130.380005,124.900002,0.9779357088511289,0.3904054407753237
221,3/16/18,8269.3275,60.689999,129.869995,124.599998,0.9650011412629977,0.3911078779458905
222,3/19/18,8594.1913,59.66,126.910004,124.870003,0.8899316256657368,0.40960973938986966
223,3/20/18,8915.9038,60.0,127.160004,124.309998,0.8962719756530562,0.4279321258785954
224,3/21/18,8895.4,60.080002,127.370003,126.480003,0.9015978442810044,0.42676437968257397
225,3/22/18,8712.8913,59.529999,124.029999,125.980003,0.8168906670048188,0.4163700215555043
226,3/23/18,8918.7438,58.279999,120.800003,127.610001,0.7349734466142532,0.428093871467057
227,3/26/18,8138.3363,59.110001000000004,124.41999799999999,128.279999,0.8267815876236368,0.38364757909824865
228,3/27/18,7790.1575,59.25,119.599998,127.489998,0.7045396398681207,0.36381786610673994
229,3/28/18,7106.620117,59.919998,117.779999,125.730003,0.6583819173218366,0.32488858573740964
230,3/29/18,6853.759765999999,60.68,120.5,125.790001,0.7273649505452702,0.31048751310673195
231,4/2/18,7434.299805,59.459998999999996,117.230003,127.260002,0.6444332487953335,0.34355081952702327
232,4/3/18,6815.5,60.209998999999996,117.889999,126.300003,0.6611716713162568,0.308308517203184
233,4/4/18,6790.450195,60.27,119.370003,126.449997,0.6987066446867867,0.3068818638755165
234,4/5/18,6634.859863000001,60.57,120.800003,125.800003,0.7349734466142532,0.2980205787317526
235,4/6/18,6917.200195,59.619999,118.290001,126.389999,0.6713162820187675,0.3141006150506993
236,4/9/18,6871.069823999999,60.150002,118.66999799999999,126.82,0.6809535379152929,0.3114733671621953
237,4/10/18,6977.129883,60.48,121.400002,127.120003,0.7501902612224196,0.3175137709140392
238,4/11/18,7927.72998,60.330002,121.440002,128.110001,0.7512047172203911,0.3716529864355195
239,4/12/18,7899.109863,60.23,122.510002,126.620003,0.7783414151661172,0.3700229942996014
240,4/13/18,8022.509765999999,60.23,121.639999,127.449997,0.7562769211260463,0.3770509484991966
241,4/16/18,7921.629883,60.400002,122.32,127.629997,0.7735226984529544,0.3713055696119496
242,4/17/18,8189.959961,60.630001,126.43,127.75,0.8777580522444843,0.386587684530288
243,4/18/18,8301.820313,61.040001000000004,126.66999799999999,127.849998,0.8838447375095106,0.39295843046682744
244,4/19/18,8877.080078,60.810001,126.900002,127.599998,0.8896779609434442,0.42572101117396055
245,4/20/18,8935.719727,60.689999,125.839996,126.629997,0.8627947248288108,0.42906069586927453
246,4/23/18,9655.769531,60.610001000000004,125.379997,125.620003,0.8511285062135432,0.47006945617550844
247,4/24/18,8873.620117,60.389998999999996,122.18,126.230003,0.7699721024600561,0.425523957150017
248,4/25/18,9282.120117,60.580002,121.269997,125.410004,0.7468931524220137,0.4487891236593833
249,4/26/18,8938.469727,60.950001,123.989998,124.970001,0.8158761856454477,0.42921731571725685
250,4/27/18,9351.469727,60.779999,123.959999,125.5,0.8151153690083692,0.452738769250594
251,4/28/18,9248.45,60.639998999999996,123.839996,124.589996,0.8120719249302564,0.44687152052989776
