Company,Symbol
US Natural Gas,UNG
SPDR Tech,XLU
20-yr Tbond,TLT
SPDR Gold Shares,GLD
SPDR Energy,XLE
Dow Jones Internet,FDN
US Oil,USO
Consumer Discretionary,XLY
Vanguart I.T.,VGT
Russell 2000,IWM
Robotics & Automation,ROBO
SPDR Utilities,XLK
Russell Top 200 Growth,IWY
iShares Japan,EWJ
S&P 500,SPY
Dow Jones,DIA
Trading Bitcoin,GTRA
Trump,GTRMP
Bitcash,GBCH
Currencies,GCURR
Crypto,GCRYP
President,GPRES
Bitcoin,GBIT
CoinDesk,GCD
Ethereum,GETHER
McAfee,GMAF
Satoshi,GSATO
Blockchain,GBLO
General Electric,GE
Google,GOOG
Citgroup,C
J.P. Morgan,JPM
Apple,AAPL
Satoshi,YSAT
Trading Bitcoin,YTRA
Bitcoin = search term,YBIT
McAfee,YMAF
Blockchain,YBLO
Invest in Bitcoin,YIB
Semiconductor Index,SMH